chief_complaint_raw,cc_stripped
"dehydration moderate, intermittent",dehydration
"dehydration moderate, no prior history of this",dehydration
"dehydration moderate, onset today",dehydration
"dehydration moderate, since yesterday",dehydration
"dehydration moderate, worsening with movement",dehydration
dehydration moderate，worsening over hours,dehydration
mild dehydration,dehydration
mild dehydration in known patient,dehydration
"mild dehydration, constant",dehydration
"mild dehydration, for 2 days",dehydration
"mild dehydration, intermittent",dehydration
"mild dehydration, no prior history of this",dehydration
"mild dehydration, onset today",dehydration
"mild dehydration, since yesterday",dehydration
"mild dehydration, worsening with movement",dehydration
mild dehydration，worsening over hours,dehydration
severe dehydration,dehydration
severe dehydration in known patient,dehydration
"severe dehydration, constant",dehydration
"severe dehydration, for 2 days",dehydration
"severe dehydration, intermittent",dehydration
"severe dehydration, no prior history of this",dehydration
"severe dehydration, onset today",dehydration
"severe dehydration, since yesterday",dehydration
"severe dehydration, worsening with movement",dehydration
severe dehydration，worsening over hours,dehydration
dehydration moderate with associated nausea,dehydration  with associated nausea
dehydration moderate with diaphoresis,dehydration  with diaphoresis
dehydration moderate with fever,dehydration  with fever
dehydration moderate with rigors,dehydration  with rigors
dehydration moderate with vomiting,dehydration  with vomiting
mild dehydration with associated nausea,dehydration with associated nausea
severe dehydration with associated nausea,dehydration with associated nausea
mild dehydration with diaphoresis,dehydration with diaphoresis
severe dehydration with diaphoresis,dehydration with diaphoresis
mild dehydration with fever,dehydration with fever
severe dehydration with fever,dehydration with fever
mild dehydration with rigors,dehydration with rigors
severe dehydration with rigors,dehydration with rigors
mild dehydration with vomiting,dehydration with vomiting
severe dehydration with vomiting,dehydration with vomiting
depressive episode assessment,depressive episode assessment
depressive episode assessment in known patient,depressive episode assessment
"depressive episode assessment, constant",depressive episode assessment
"depressive episode assessment, for 2 days",depressive episode assessment
"depressive episode assessment, intermittent",depressive episode assessment
"depressive episode assessment, no prior history of this",depressive episode assessment
"depressive episode assessment, onset today",depressive episode assessment
"depressive episode assessment, since yesterday",depressive episode assessment
"depressive episode assessment, worsening with movement",depressive episode assessment
depressive episode assessment，worsening over hours,depressive episode assessment
depressive episode assessment with associated nausea,depressive episode assessment with associated nausea
depressive episode assessment with diaphoresis,depressive episode assessment with diaphoresis
depressive episode assessment with fever,depressive episode assessment with fever
depressive episode assessment with rigors,depressive episode assessment with rigors
depressive episode assessment with vomiting,depressive episode assessment with vomiting
diabetes management question,diabetes management question
diabetes management question in known patient,diabetes management question
"diabetes management question, constant",diabetes management question
"diabetes management question, for 2 days",diabetes management question
"diabetes management question, intermittent",diabetes management question
"diabetes management question, no prior history of this",diabetes management question
"diabetes management question, onset today",diabetes management question
"diabetes management question, since yesterday",diabetes management question
"diabetes management question, worsening with movement",diabetes management question
diabetes management question，worsening over hours,diabetes management question
diabetes management question with associated nausea,diabetes management question with associated nausea
diabetes management question with diaphoresis,diabetes management question with diaphoresis
diabetes management question with fever,diabetes management question with fever
diabetes management question with rigors,diabetes management question with rigors
diabetes management question with vomiting,diabetes management question with vomiting
diabetes review,diabetes review
diabetes review in known patient,diabetes review
"diabetes review, constant",diabetes review
"diabetes review, for 2 days",diabetes review
"diabetes review, intermittent",diabetes review
"diabetes review, no prior history of this",diabetes review
"diabetes review, onset today",diabetes review
"diabetes review, since yesterday",diabetes review
"diabetes review, worsening with movement",diabetes review
diabetes review，worsening over hours,diabetes review
diabetes review with associated nausea,diabetes review with associated nausea
diabetes review with diaphoresis,diabetes review with diaphoresis
diabetes review with fever,diabetes review with fever
diabetes review with rigors,diabetes review with rigors
diabetes review with vomiting,diabetes review with vomiting
diabetic ketoacidosis with obtundation,diabetic ketoacidosis with obtundation
diabetic ketoacidosis with obtundation in known patient,diabetic ketoacidosis with obtundation
"diabetic ketoacidosis with obtundation, constant",diabetic ketoacidosis with obtundation
"diabetic ketoacidosis with obtundation, for 2 days",diabetic ketoacidosis with obtundation
"diabetic ketoacidosis with obtundation, intermittent",diabetic ketoacidosis with obtundation
"diabetic ketoacidosis with obtundation, no prior history of this",diabetic ketoacidosis with obtundation
"diabetic ketoacidosis with obtundation, onset today",diabetic ketoacidosis with obtundation
"diabetic ketoacidosis with obtundation, since yesterday",diabetic ketoacidosis with obtundation
"diabetic ketoacidosis with obtundation, worsening with movement",diabetic ketoacidosis with obtundation
diabetic ketoacidosis with obtundation，worsening over hours,diabetic ketoacidosis with obtundation
diabetic ketoacidosis with obtundation with associated nausea,diabetic ketoacidosis with obtundation with associated nausea
diabetic ketoacidosis with obtundation with diaphoresis,diabetic ketoacidosis with obtundation with diaphoresis
diabetic ketoacidosis with obtundation with fever,diabetic ketoacidosis with obtundation with fever
diabetic ketoacidosis with obtundation with rigors,diabetic ketoacidosis with obtundation with rigors
